batchNum,casePackId,prdPdhName1,prdPdhName2,prdPdhName3,prdPddCode1,prdPddCode2,prdPddCode3,variationQty,downloadDate1
240,JHCAMISV23-009           ,COLOR                         ,TALLA                         ,,BLANCO,M     ,,2,
240,JHCAMISV23-009           ,COLOR                         ,TALLA                         ,,BLANCO,M     ,,2,
240,JHCAMISV23-009           ,COLOR                         ,TALLA                         ,,BLANCO,M     ,,2,
240,JHCAMISV23-009           ,COLOR                         ,TALLA                         ,,BLANCO,M     ,,2,
240,JHCAMISV23-009           ,COLOR                         ,TALLA                         ,,BLANCO,M     ,,2,
240,JHCAMISV23-009           ,COLOR                         ,TALLA                         ,,BLANCO,M     ,,2,
240,JHCAMISV23-009           ,COLOR                         ,TALLA                         ,,BLANCO,M     ,,2,
240,JHCAMISV23-009           ,COLOR                         ,TALLA                         ,,BLANCO,M     ,,2,
240,JHCAMISV23-009           ,COLOR                         ,TALLA                         ,,BLANCO,M     ,,2,
240,JHCAMISV23-009           ,COLOR                         ,TALLA                         ,,BLANCO,M     ,,2,
240,JHCAMISV23-009           ,COLOR                         ,TALLA                         ,,BLANCO,M     ,,2,
240,JHCAMISV23-009           ,COLOR                         ,TALLA                         ,,BLANCO,M     ,,2,
240,JHCAMISV23-009           ,COLOR                         ,TALLA                         ,,BLANCO,M     ,,2,
240,JHCAMISV23-009           ,COLOR                         ,TALLA                         ,,BLANCO,M     ,,2,
240,JHCAMISV23-009           ,COLOR                         ,TALLA                         ,,BLANCO,M     ,,2,
240,JHCAMISV23-009           ,COLOR                         ,TALLA                         ,,BLANCO,M     ,,2,
